Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
"Kallebäck, Kallebäcksvägen 7",Kallebäck,x,x,x,x,x,57.68444,12.00750
"Kallebäck, p-plats",Kallebäck,x,x,x,x,x,57.68222,12.00917
"Kortedala Norra, Allhelgonagatan 21",Kortedala Norra,x,x,x,x,x,57.76194,12.03833
"Kortedala Södra, affären",Kortedala Södra,x,x,x,x,x,57.75639,12.03167
"Krokslätt, Norra Krokslättsgatan 8",Krokslätt,x,x,x,x,x,57.68889,11.99361
"Majorna , Slottsskogsgatan 60",Majorna,x,x,x,x,x,57.68694,11.92500
"Kungsladugård, Svalebogatan 50",Kungsladugård,x,x,x,x,x,57.67750,11.92528
"Kärra, Lillekärr Norra 195",Kärra,x,x,x,x,x,57.79583,11.99056
"Kärra, Lillekärr Södra 122",Kärra,x,x,x,x,x,57.79111,11.99083
"Kärra, Norra Liegården 9,/Orrekullagatan",Kärra,x,x,x,x,x,57.79417,12.00167
"Kärra, Prilyckegatan 125",Kärra,x,x,x,x,x,57.79417,11.98389
"Kärra, p-plats",Kärra,x,x,x,x,x,57.79889,11.99250
"Kärra, vändplan",Kärra,x,x,x,x,x,57.79639,11.99639
"Majorna, Betzensgatan 4",Majorna,x,x,x,x,x,57.69556,11.92000
"Majorna, p-plats",Majorna,x,x,x,x,x,57.69194,11.91917
"Majorna, Styrmansgatan 12",Majorna,x,x,x,x,x,57.69750,11.92722
"Sanna, Jordhyttegatan 15",Sanna,x,x,x,x,x,57.68417,11.91111
"Sanna, Öckerögatan 3",Sanna,x,x,x,x,x,57.68500,11.90750
"Sannegården, p-plats Kyrkbytorget",Sannegården,x,x,x,x,x,57.71083,11.90694
"Sannegården, p-plats",Sannegården,x,x,x,x,x,57.70306,11.92111
"Kyrkbyn, Äringsgatan 2",Kyrkbyn,x,x,x,x,x,57.70944,11.90778
"Skattegården, p-plats",Skattegården,x,x,x,x,x,57.65083,11.89667
"Skattegården, p-däck",Skattegården,x,x,x,x,x,57.65000,11.89056
"Skattegården, p-plats",Skattegården,x,x,x,x,x,57.65389,11.90000
"Skattegården, Trollbärsvägen 18",Skattegården,x,x,x,x,x,57.65167,11.89111
"Skälltorp, p-däck",Skälltorp/Blå Staden,x,x,x,x,x,57.75083,11.98194
"Skälltorp, p-däck",Skälltorp/Blå Staden,x,x,x,x,x,57.75306,11.98444
"Skälltorp, p-däck",Skälltorp/Blå Staden,x,x,x,x,x,57.75722,11.98833
"Skälltorp, vändplan",Skälltorp/Blå Staden,x,x,x,x,x,57.75444,11.98139
"Skälltorp, p-plats",Skälltorp/Blå Staden,x,x,x,x,x,57.75667,11.98306
"Skälltorp, p-däck",Skälltorp/Blå Staden,x,x,x,x,x,57.75667,11.98500
"Skälltorp, busshållplats Båtsman Grås Gata",Skälltorp/Blå Staden,x,x,x,x,x,57.75722,11.96750
"Skälltorp, Transformator",Skälltorp/Blå Staden,x,x,x,x,x,57.75500,11.96222
Säve station,Säve,x,x,x,x,x,57.80333,11.91250
"Tuve, Arvesgärde 29-30",Tuve,x,x,x,x,x,57.75167,11.91944
"Tuve, Arvesgärde 35-36",Tuve,x,x,x,x,x,57.75333,11.92083
"Tuve, Västra Gunnesgärde 31",Tuve,x,x,x,x,x,57.75139,11.92972
"Ängås, p-plats",Ängås,x,x,x,x,x,57.64639,11.91833
"Ängås, p-plats",Ängås,x,x,x,x,x,57.64861,11.91222
"Fiskebäck, p-plats",Fiskebäck,x,x,x,x,x,57.65556,11.86833
"Fiskebäck, p-plats",Fiskebäck,x,x,x,x,x,57.64972,11.86528
"Masthugget, Kjellmansgatan 7",Masthugget,x,x,x,x,x,57.69806,11.93833
"Majorna, Kabelgatan/Stortoppsgatan",Majorna,x,x,x,x,x,57.68972,11.92417
"Brämaregården, p-plats",Brämaregården,x,x,x,x,x,57.71889,11.94417
"Majorna, Chapmans Torg 6-10",Majorna,x,x,x,x,x,57.69306,11.91861
"Brämaregården, p-plats",Brämaregården,x,x,x,x,x,57.72000,11.94417
"Näset, infarten",Näset,x,x,x,x,x,57.63111,11.90000
"Näset, Hammarvägen 8",Näset,x,x,x,x,x,57.62472,11.89778
"Brämaregården, p-plats",Brämaregården,x,x,x,x,x,57.72028,11.93806
"Näset, p-plats",Näset,x,x,x,x,x,57.62000,11.90167
"Högsbotorp, p-plats",Högsbotorp,x,x,x,x,x,57.67250,11.93556
"Majorna, Godhemsgatan 3",Majorna,x,x,x,x,x,57.68806,11.92806
"Majorna, Såggatan 51",Majorna,x,x,x,x,x,57.69167,11.92806
"Brämaregården, p-plats",Brämaregården,x,x,x,x,x,57.71750,11.93833
"Bratthammar, Apelsingatan p-plats",Bratthammar,x,x,x,x,x,57.65611,11.88111
"Brämaregården, Lantmannagatan 4 p-plats",Brämaregården,x,x,x,x,x,57.71722,11.92861
"Brämaregården, Västra Stillestorpsgatan 7",Brämaregården,x,x,x,x,x,57.71694,11.93306
"Högsbohöjd, Gerdas Gård 1 infart Växelmyntsgatan",Högsbohöjd,x,x,x,x,x,57.67083,11.91639
"Högsbohöjd, Växelmyntsgatan mitt för nr 14",Högsbohöjd,x,x,x,x,x,57.67222,11.91194
"Högsbohöjd, Fredrikas Gård",Högsbohöjd,x,x,x,x,x,57.67167,11.91500
"Högsbotorp, Kapplandsgatan 84",Högsbotorp,x,x,x,x,x,57.66972,11.93111
"Högsbotorp, Penninggatan 1 p-plats",Högsbotorp,x,x,x,x,x,57.67194,11.92889
"Högsbotorp, Skäpplandsgatan 1 p-plats",Högsbotorp,x,x,x,x,x,57.67444,11.93111
"Högsbotorp, vid transformator",Högsbotorp,x,x,x,x,x,57.67194,11.93306
"Majorna, Blåsutgatan 2",Majorna,x,x,x,x,x,57.69222,11.92222
"Skogome, Sandbanksvägen",Skogome,x,x,x,x,x,57.76083,11.94639
"Guldheden Syster Emmas Gata 11, p-plats",Göteborg,x,x,x,x,x,57.67861,11.97444
"Guldheden Syster Estrids Gata 5, p-plats",Göteborg,x,x,x,x,x,57.68000,11.97194
"Bergum Torvhögsvägen, vid Gråbovägen",Bergum,x,x,x,x,x,57.79806,12.14528
"Angered, Rappedalsvägen 11 p-plats",Angered,x,x,x,x,x,57.80056,12.05278
"Askim, vid Askimsbadet",Askim,x,x,x,x,x,57.62639,11.93250
"Billdal, Södra Särövägen",Billdal,x,x,x,x,x,57.57806,11.94083
"Billdal, vid daghemmet",Billdal,x,x,x,x,x,57.60111,11.95639
"Brunnsbo, Blankversgatan 1",Brunnsbo,x,x,x,x,x,57.73528,11.97444
"Brämaregården, Kvillegatan 14",Brämaregården,x,x,x,x,x,57.71833,11.95083
"Eriksbo, Bondegärdet 41",Eriksbo,x,x,x,x,x,57.76944,12.02639
"Grevegården, Turkosgatan 2-26, vid p-däck",Grevegården,x,x,x,x,x,57.64944,11.89806
"Guldheden, Doktor Liborius Gata 44 p-plats",Guldheden,x,x,x,x,x,57.68139,11.97611
"Gårdstensbergen, Saffransgatan 13 p-plats",Gårdstensbergen,x,x,x,x,x,57.80917,12.03056
"Gårdstensbergen, Timjansgatan 27 p-plats",Gårdstensbergen,x,x,x,x,x,57.80861,12.02556
"Hovås, Skalldalsvägen 13",Hovås,x,x,x,x,x,57.61333,11.94250
"Krokslätt, Gibraltargatan 94",Krokslätt,x,x,x,x,x,57.68111,11.98444
"Lunden, Kärralundsgatan 3",Lunden,x,x,x,x,x,57.70778,12.00833
"Lunden, Prästgårdsgatan 1",Lunden,x,x,x,x,x,57.70444,12.00667
"Lunden, Skogshyddegatan 14",Lunden,x,x,x,x,x,57.70639,12.00167
"Lunden, Slätten 1",Lunden,x,x,x,x,x,57.71083,12.00167
"Näset, Fogelmarksvägen",Näset,x,x,x,x,x,57.62000,11.88556
"Näset, Spektrumsgatan 1",Näset,x,x,x,x,x,57.63417,11.89667
"Tofta, Pianogatan p-plats mitt för nr 42",Tofta,x,x,x,x,x,57.65444,11.91583
"Tofta, Orgelgatan/Dragspelsgatan, P-plan",Tofta,x,x,x,x,x,57.65222,11.91583
"Tofta, Norra Dragspelsgatan p-plats",Tofta,x,x,x,x,x,57.65500,11.91861
"Järnbrott, Relägatan 1 p-plats",Järnbrott,x,x,x,x,x,57.65778,11.93111
"Gamlestaden, Beväringsgatan 9, p-plats",Gamlestaden,x,x,x,x,x,57.73972,12.02806
"Björkekärr, Rosendalsgatan 8",Björkekärr,x,x,x,x,x,57.71306,12.04306
"Gamlestaden, Måns Bryntessonsplatsen 1 p-plats",Gamlestaden,x,x,x,x,x,57.73111,12.00806
"Gamlestaden, Skaragatan 9",Gamlestaden,x,x,x,x,x,57.73222,12.01361
"Linnarhult, Linnarhultsvägen",Linnarhult,x,x,x,x,x,57.77667,12.06194
"Fiskebäck, Västra Palmgrensgatan",Fiskebäck,x,x,x,x,x,57.66833,11.87250
Långedrag p-plats mitt för Talattagatan,Långedrag,x,x,x,x,x,57.66778,11.85361
Fiskebäck Traneredsvägen,Fiskebäck,x,x,x,x,x,57.66083,11.88833
"Billdal, p-plats vid Skinteboden",Billdal,x,x,x,x,x,57.58944,11.93917
"Alelyckan, Kretsloppsparken utanför (ÅVC)",Alelyckan,x,x,x,x,x,57.75639,12.00889
"Gårdsten Muskotgatan 23, P-plats",Angered,x,x,x,x,x,57.80528,12.03250
"Backa, Blendas Gata",Backa,x,x,x,x,x,57.74194,11.96833
"Coop Forum, Backa",Backa,x,x,x,x,x,57.72361,11.95528
IKEA Bäckebol,Kärra,x,x,x,x,x,57.77556,12.00083
ICA Maxi,Torslanda,x,x,x,x,x,57.70833,11.77444
"Hisings Backa, Lilla Arödsgatan",Brunnsbo,x,x,x,x,x,57.73639,11.95694
"Odinplatsen, Burggrevegatan",Stampen,x,x,x,x,x,57.71000,11.98361
"Brunnsbo, Berättelsegatan",Brunnsbo,x,x,x,x,x,57.72694,11.96722
"Margaretebergsmotet, Änggården",Göteborg,x,x,x,x,x,57.68056,11.94417
Kviberg,Göteborg,x,x,x,x,x,57.73194,12.03056
Polstjärnegatan,Göteborg,x,x,x,x,x,57.70972,11.93194
"Gunnilse, vid ICA Gunnilse",Gunnilse,x,x,x,x,x,57.78833,12.09500
"Gårdstensbergen ,Kanelgatan vid infarten till p-plats ",Gårdstensbergen,x,x,x,x,x,57.80861,12.02333
"Tofta, Pianogatan, p-plats infart från S Dragspelsgatan ",Tofta,x,x,x,x,x,57.64972,11.91889
"Utby, Fjällbogatan 55",Utby,x,x,x,x,x,57.74000,12.07056
Utby Ungmästaregatan ,Utby,x,x,x,x,x,57.74556,12.04944
Gårdstensberget p-plats Kanelgatan,Gårdstensberget,x,x,x,x,x,57.80500,12.02361
"Fiskebäck, vid kiosken",Fiskebäck,x,x,x,x,x,57.66528,11.86167
Önnered Juteskärsgatan ,Önnered,x,x,x,x,x,57.63833,11.88167
"Svartedalen, vid Karlaplatsen ",Svartedalen ,x,x,x,x,x,57.73500,11.89750
Länsmansgården ,Länsmansgården ,x,x,x,x,x,57.73361,11.89389
"Slättadamm, vid Preem",Slättadamm,x,x,x,x,x,57.72889,11.92528
"Slättadamm, p-plats",Slättadamm ,x,x,x,x,x,57.72889,11.93222
"Slättadamm, Karl Staafsgatan ",Slättadamm,x,x,x,x,x,57.73111,11.92222
Gamlestaden,Gamlestaden,x,x,x,x,x,57.73333,12.01861
"Härlanda, Utjordsgatan",Härlanda,x,x,x,x,x,57.71306,12.02306
Kärra Stora Tolsereds Väg,Kärra,x,x,x,x,x,57.80556,11.97444
"Kärrdalen, Sankt Olofsgatan",Kärradalen,x,x,x,x,x,57.73111,11.91139
"Skälltorp, Plockerotsgatan",Skälltorp,x,x,x,x,x,57.76278,11.97472
"Härlanda, Balsamingatan",Härlanda,x,x,x,x,x,57.71806,12.02194
"Annedal, Seminariegatan 20",Annedal,x,x,x,x,x,57.69083,11.95833
Kortedala Södra p-plats,Kortedala Södra,x,x,x,x,x,57.75000,12.03278
"Hjuvik, vid telestation",Hjuvik,x,x,x,x,x,57.71222,11.72361
"Askim, Pilegårdsväg",Askim,x,x,x,x,x,57.64167,11.93306
"Brämaregården, vid p-plats",Brämaregården,x,x,x,x,x,57.70694,11.92889
"Kålltorp, p-plats",Kålltorp,x,x,x,x,x,57.71972,12.02667
Sannegården,Sannegården,x,x,x,x,x,57.70250,11.91306
"Överås, Bögatan",Översås,x,x,x,x,x,57.70111,12.01556
Färghandeln,Götene,x,x,x,x,"",58.52917,13.49167
Linnégatan 15/Hillbogatan,Götene,x,x,x,x,"",58.52472,13.50111
P-plats Konsum,Hällekis,x,x,x,x,x,58.62806,13.43361
ICA Källan,Källby,x,x,x,x,x,58.51139,13.30333
Sil,Götene,x,x,x,x,"",58.52278,13.45694
Stationsvägen,Österäng,x,x,x,x,x,58.63444,13.56056
Badhuset,Götene,x,x,x,x,"",58.52694,13.48028
Lundsbrunn,Lundsbrunn,x,x,x,x,x,58.46889,13.45111
Miljövägen 1 (ÅVC),Götene,x,x,"","",x,58.53000,13.46361
ICA Träffen,Herrljunga,x,x,x,x,x,58.07889,13.02639
Hemköp,Herrljunga,x,x,x,x,x,58.07694,13.02167
Pizza Parkudden,Ljung,x,x,x,x,x,57.98750,13.06028
"182:an, Väg mot Örum",Od,x,x,x,x,x,57.94972,13.18306
"Annelund, utanför ÅVC",Annelund,x,x,x,x,x,57.99333,13.09333
Herrljunga (ÅVC),Herljunga,x,x,x,x,x,58.08083,13.00500
Herrljunga Cider,Herrljunga,x,"","","","",58.07972,13.01639
Hjo Taxi,Hjo,x,x,x,x,"",58.30611,14.29472
"Korsberga, Centrum, Bygdegården",Korsberga,x,x,x,x,"",58.30389,14.10028
Blikstorp,Bilkstorp,x,x,x,x,"",58.28194,14.05778
ÅVC,Hjo,x,x,x,x,x,58.31444,14.28639
Sturegatan,Hjo,x,"","","","",58.30639,14.28917
Jönköpingsvägen / Orkestervägen,Hjo,x,x,x,x,"",58.29111,14.27306
"Hindås, OK/Q8",Hindås,x,x,x,x,x,57.70389,12.44250
"Hindås, Vid Järnvägsstationen",Hindås,x,x,x,x,x,57.70417,12.44972
"Landvetter, Pendelparkering",Landvetter,x,x,x,x,x,57.68750,12.20750
"Landvetter, Tennishallen",Landvetter,x,x,x,x,x,57.68278,12.20750
"Landvetter, Östers Väg/Salmeredsvägen",Landvetter,x,x,x,x,x,57.69361,12.21611
Bråta ÅVC,Mölnlycke,x,x,x,x,x,57.67028,12.13250
"Mölnlycke, Parkeringshuset Mölnlycke Centrum",Mölnlycke,x,x,x,x,x,57.65722,12.11250
"Mölnlycke Centrum, kommunhuset",Mölnlycke,x,x,x,x,x,57.66000,12.11583
"Mölnlycke, P-plats ICA",Mölnlycke,x,x,x,x,x,57.65306,12.13806
"Mölnlycke, Vällsjö Centrum",Mölnlycke,x,x,x,x,x,57.65028,12.09361
"Mölnlycke, Skinnefjäll",Mölnlycke,x,x,x,x,x,57.65306,12.13444
"Mölnlycke, Törnrosvägen",Mölnlycke,x,x,x,x,x,57.66500,12.10806
"Rävlanda, Stationen",Rävlanda,x,x,x,x,x,57.65389,12.49944
"Mölnlycke, ICA",Mölnlycke,x,x,x,x,x,57.64778,12.12194
"Mölnlycke, Båtmanstorpet",Mölnlycke,x,x,x,x,x,57.64611,12.10667
"Rävlanda, Boråsvägen Förbo",Rävlanda,x,x,x,x,x,57.65556,12.49639
"Mölnlycke, P-däck Aspgården",Mölnlycke,x,x,x,x,x,57.66389,12.10139
"Mölnlycke, Vändplats Bokgården",Mölnlycke,x,x,x,x,x,57.66306,12.10278
Landvetter Brattåsvägen/Lunnavägen,Landvetter,x,x,x,x,x,57.68528,12.21889
"Härryda, Preem",Härryda,x,x,x,x,x,57.69028,12.30972
"Statoil, Hällingsjö",Hällingsjö,x,x,x,x,x,57.61889,12.43528
"Pixbo, Plommonvägen",Mölnlycke,x,x,x,x,x,57.64639,12.07722
Landvetter p-plats Södra Stommen Förbo,Landvetter,x,x,x,x,x,57.68806,12.21528
Landvetter Norra Stommen Förbo,Landvetter,x,x,x,x,x,57.69139,12.21222
Mölnlycke Skogsgläntan 12-42 Förbo,Mölnlycke,x,x,x,x,x,57.65222,12.14250
Björröd,Björröd,x,x,x,x,x,57.67417,12.24361
Forsvik Baltzar von Platens väg,Forsvik,x,x,x,x,x,58.58250,14.42944
Hanken Tunvägen,Hanken,x,x,x,x,x,58.56028,14.50583
Karlsborg Parkvägen,Karlsborg,x,x,x,x,x,58.54306,14.47833
Karlsborg Smedjegatan Södra Skogen,Karlsborg,x,x,x,x,x,58.52111,14.50472
Karlsborg Västra Varvsgatan,Karlsborg,x,x,x,x,x,58.53944,14.50194
Mölltorp Rosenlundsgatan,Mölltorp,x,x,x,x,x,58.49389,14.41806
Undenäs Magasinvägen 2,Undenäs,x,x,x,x,x,58.65667,14.40472
Karlsborgs (ÅVC),Karlsborg,x,x,x,x,x,58.54750,14.49000
Karlsborgs Fästning,Karlsborg,x,x,x,x,x,58.52917,14.53139
Systembolaget,Karlsborg,x,"","","","",58.52917,14.51111
ICA Supermarket ,Karlsborg,x,"","","","",58.52972,14.51139
Diserörds ÅVC utanför,Diseröd,x,x,x,x,x,57.92500,12.03222
Tvetens Samfällighet,Kungälv,x,x,x,x,x,57.87694,11.99389
Vikingatorget  Willy´s,Kungälv,x,x,x,x,x,57.86917,11.96639
Liljedalsområdet,Kungälv,x,x,x,x,x,57.86833,11.98167
"ICA Maxi, Vita Fläcken ",Kungälv,x,x,x,x,x,57.87472,11.97167
ICA Nära,Kungälv,x,x,x,x,x,57.87667,11.98750
City Gross,Ytterby,x,x,x,x,x,57.85833,11.91639
"Koön, Hedvigsholmen ",Marstrand,x,x,x,x,x,57.88667,11.59333
ICA NÄRA,Kode,x,x,x,x,x,57.94250,11.85167
Bäcks Lanthandel,Romelanda,x,x,x,x,x,57.99972,12.12194
Kyrkbäcksgatan,Ytterby,x,x,x,x,x,57.85361,11.91194
Kareby,Kareby,x,x,x,x,x,57.90472,11.92500
Harestad,Harestad,x,x,x,x,x,57.81722,11.84278
Gamla Trollhättevägen,Kungälv,x,x,x,x,x,57.88111,11.98722
Komarken,Kungälv,x,x,x,x,x,57.87056,11.96278
Komarken,Kungälv,x,x,x,x,x,57.86667,11.95333
Orren,Kungälv,x,x,x,x,x,57.86944,11.95556
"Kode, inne på ÅVC",Kode,x,x,x,x,x,57.93889,11.85056
"Ytterby, utanför ÅVC",Ytterby,x,x,x,x,x,57.86333,11.92806
"Kärna, utanför ÅVC",Kärna,x,x,x,x,x,57.84389,11.79306
Floda Stationsvägen centrum,Floda,x,x,x,x,x,57.80806,12.35889
Gråbo Förboparkeringen Segerstadsvägen,Gråbo,x,x,x,x,x,57.83972,12.30111
Lerum Hallegårdsvägen Höjden,Lerum,x,x,x,x,x,57.78278,12.28583
HSB-parkeringen  Utängsvägen,Sjövik,x,x,x,x,x,57.91583,12.36556
Stenkullen Ölslanda lycka Ölslanda,Stenkullen,x,x,x,x,x,57.78500,12.30139
Stenkullen Bollhallen Lerums sportcentrum,Stenkullen,x,x,x,x,x,57.79222,12.30972
Tollered B-Max livs,Tollered,x,x,x,x,x,57.81806,12.41861
"LIS Tomten, Lidl",Lerum,x,x,x,x,x,57.76444,12.26361
Stannum Trä,Gråbo,x,x,x,x,x,57.82500,12.24639
Mjörnbotorget Centrum,Gråbo,x,x,x,x,x,57.83556,12.29806
Hultet (ÅVC),Lerum,x,x,x,x,x,57.79417,12.23139
"Gråbo centrum, värmeverket",Gråbo,x,x,x,x,x,57.83472,12.29333
"Göteborgsvägen, parkering",Lerum,x,x,x,x,x,57.76750,12.26528
ICA Maxi Hulan,Lerum,x,x,x,x,x,57.75056,12.24333
Lerum stationsvägen,Lerum,x,x,x,x,x,57.76972,12.27306
Almekärr Servett Tillfällig,Lerum,x,x,x,x,x,57.76278,12.26139
"Floda, Kyrkmossen",Floda,x,x,x,x,x,57.80417,12.37556
Filsbäck,Filsbäck,x,x,x,x,x,58.49167,13.25056
Framnäs,Lidköping,x,x,x,x,x,58.51139,13.14167
Järpås,Järpås,x,x,x,x,x,58.38250,12.97694
Lidköping Månsköldsskolan,Lidköping,x,x,x,x,x,58.50194,13.13972
Lidköping Stenhammar,Lidköping,x,x,x,x,x,58.53444,13.11500
Lidköping Majåker,Lidköping,x,x,x,x,x,58.48111,13.13889
Lidköping Margretelund,Lidköping,x,x,x,x,x,58.48806,13.17194
Otterstad,Otterstad,x,x,x,x,x,58.65500,13.16306
Råda,Råda,x,x,x,x,x,58.50167,13.12361
Tun,Tun,x,x,x,x,x,58.42972,12.73639
"Lidköping, Ulriksdal",Lidköping,x,x,x,x,x,58.52333,13.11361
Vinninga,Vinninga,x,x,x,x,x,58.45250,13.26028
Lidköping Fredriksdalsskolan,Lidköping,x,x,x,x,x,58.49639,13.16611
Kartåsens Avfallsanläggning (ÅVC),Lidköping,x,x,x,x,x,58.48917,13.21611
Lidåker,Lidköping,x,x,x,x,x,58.49167,13.15556
Söder om Hjärtums handel,Hjärtum,x,x,x,x,"",58.17944,12.10861
Brandstationen,Lilla Edet,x,x,x,x,"",58.13056,12.13472
"Lilla Edet, mellan  Boströms ICA och Posten",Lilla Edet,x,x,x,x,"",58.13694,12.12833
Göta livs,Göta,x,x,x,x,"",58.10778,12.14917
Götaslättsväg,Lilla Edet,x,x,x,x,"",58.12333,12.13861
"Lilla Edet, bakom Konsum",Lilla Edet,x,x,x,x,"",58.13694,12.12639
Långgatan,Lödöse,x,x,x,x,x,58.03278,12.15389
Lödöse Statoil,Lödöse,x,x,x,x,"",58.02833,12.15361
Nygård gamla affär,Nygård,x,x,x,x,"",58.05528,12.21778
Badplatsen,Prässebo,x,x,x,x,"",58.09861,12.27139
Strömmen,Ström,x,x,x,x,"",58.13889,12.11222
Torgskogs slott,Torskog,x,x,x,x,"",58.03306,12.13833
Västerlanda korsning,Västerlanda,x,x,x,x,"",58.10000,12.11694
Brastad Bussterminalen,Brastad,x,x,x,x,x,58.38194,11.48500
Brastad Rixö,Brastad,x,x,x,x,x,58.36750,11.46083
Brastad Sågvägen,Brastad,x,x,x,x,x,58.38222,11.47972
Brodalen Preem,Brodalen,x,x,x,x,x,58.41389,11.47889
Dalskogen,Dalskogen,x,x,x,x,x,58.28333,11.46611
Lyse Vid SJ,Lyse,x,x,x,x,x,58.32361,11.49389
Lysekil Slättens fotbollsplan P-plats,Lysekil,x,x,x,x,x,58.28111,11.44611
Lysekil Färgaregatan Daghemmet,Lysekil,x,x,x,x,x,58.27639,11.43472
Lysekil Boviks skola P-plats,Lysekil,x,x,x,x,x,58.27417,11.42944
Lysekil Fregattvägen,Lysekil,x,x,x,x,x,58.27167,11.42833
Grötö Järnvägsövergång,Lysekil,x,x,x,x,x,58.27639,11.44611
Lysekil Torpet,Lysekil,x,x,x,x,x,58.28833,11.47167
Lysekil Tröten,Lysekil,x,x,x,x,x,58.28639,11.45111
Skaftö Östersidan Korsvägen,Skaftö,x,x,x,x,x,58.24722,11.46556
Skaftö Grundsund Skolan,Skaftö,x,x,x,x,x,58.21472,11.42306
Skaftö Fiskebäckskil Bensinstationen,Skaftö,x,x,x,x,x,58.23833,11.45667
Lysekil Sälgvägen,Lysekil,x,x,x,x,x,58.27861,11.45500
Skaftö (ÅVC),Skaftö,x,x,x,x,x,58.21417,11.43833
Siviks Avfallsanläggning (ÅVC),Lysekil,x,x,x,x,x,58.29361,11.44861
Björsäter,Lugnås,x,x,x,x,x,58.64139,13.69972
Gästhamnen,Lyrestad,x,x,x,x,x,58.80278,14.05778
Folkets Park,Mariestad,x,x,x,x,x,58.71389,13.82861
St1 Tapp Vattentornet ,Mariestad,x,x,x,x,x,58.71111,13.85917
Bilverkstad,Mariestad,x,x,x,x,x,58.70528,13.82028
Folktandvården,Mariestad,x,x,x,x,x,58.69500,13.80444
ICA Oxen,Mariestad,x,x,x,x,x,58.71111,13.82722
Sandbäcksvägen fd Skeppet,Mariestad,x,x,x,x,x,58.69889,13.83528
Marieholms centrum,Mariestad,x,x,x,x,x,58.70444,13.80222
"Lockerudsskolan, Termiten 1",Mariestad,x,x,x,x,x,58.69750,13.79194
Reningsverket,Sjötorp,x,x,x,x,x,58.83583,13.97694
Tidavads skola,Tidavad,x,x,x,x,x,58.57806,13.85167
Norr om Torsö skola,Torsö,x,x,x,x,"",58.79000,13.81278
Affären,Ullervad,x,x,x,x,x,58.66556,13.85778
"Bångahagen, Återvinningscentral (ÅVC)",Mariestad,x,x,x,x,x,58.70583,13.86111
Industriområdet,Berghem,x,x,x,x,x,57.46611,12.59500
ICA,Björketorp,x,x,x,x,x,57.42806,12.52472
Järnvägsstation,Fritsla,x,x,x,x,x,57.55917,12.79000
Vikavägen,Horred,x,x,x,x,x,57.35722,12.48472
Hyssna Centrum,Hyssna,x,x,x,x,x,57.55667,12.53944
Strömvägen,Rydal,x,x,x,x,x,57.55667,12.69417
Industrigatan/Verkstadsgatan,Skene,x,x,x,x,x,57.49306,12.66556
Järnvägsgatan,Skene,x,x,x,x,x,57.48778,12.64694
Brandstation,Torestorp,x,x,x,x,x,57.38778,12.67639
Lindomevägen,Ubbhult,x,x,x,x,x,57.59389,12.37861
Bygdegården,Älekulla,x,x,x,x,x,57.34833,12.72944
Bygdegården,Öxabäck,x,x,x,x,x,57.39778,12.81222
ICA Kvantum,Skene,x,x,x,x,x,57.49694,12.67167
Sätila reningsverk,Sätila,x,x,x,x,x,57.54000,12.42333
Skene Skog ÅVC,Skene,x,x,x,x,x,57.50333,12.58500
Kinna station,Kinna,x,x,x,x,x,57.50694,12.69972
Järnvägsstationen,Dals-Rostock,x,x,x,x,x,58.71500,12.35528
Lanthandeln,Grinstad,x,x,x,x,x,58.62472,12.50917
Brandstationen,Mellerud,x,x,x,x,x,58.69917,12.46167
Cirkusplatsen,Mellerud,x,x,x,x,x,58.70250,12.46000
Östra Industriområdet,Mellerud,x,x,x,x,x,58.70167,12.47083
Fabriksvägen,Åsensbruk,x,x,x,x,x,58.80639,12.42361
Tippen (ÅVC),Mellerud,x,x,"",x,x,58.73417,12.40500
Vattentornet,Mellerud,x,x,x,x,x,58.70194,12.44667
Dingle Dingle Idrottsplats,Dingle,x,x,x,x,x,58.52611,11.57306
Hedekas Brandstation,Hedekas,x,x,x,x,x,58.64472,11.78889
Hällevadsholm Bullarevägen,Hällevadsholm,x,x,x,x,x,58.58139,11.53750
Munkedals kommunförråd,Munkedal,x,x,x,x,x,58.47083,11.67194
Munkedal Östanvindsvägen,Munkedal,x,x,x,x,x,58.47083,11.69333
Hästeskedsmossen (ÅVC),Munkedal,x,x,"","",x,58.52000,11.67972
Östra Jonsängsvägen,Munkedal,x,x,x,x,x,58.46389,11.67611
"Netto, Kållereds centrum",Kållered,x,x,x,x,"",57.61056,12.05056
Böletvägen/Bergsjövägen,Kållered,x,x,x,x,x,57.61167,12.03778
"COOP, Kållereds centrum",Kållered,x,x,x,x,x,57.60472,12.04556
Kållereds IP,Kållered,x,x,x,x,x,57.61000,12.07611
Espås Torpväg,Lindome,x,x,x,x,x,57.59917,12.09472
Alfhöjdsgatan,Mölndal,x,x,x,x,"",57.67472,11.99944
Broddgatan,Mölndal,x,x,x,x,x,57.65000,12.00556
Enerbackens Livs,Mölndal,x, , , , ,57.66194,12.02361
Enerbacksgatan,Mölndal,x,x,x,x,x,57.65917,12.02806
Frälsegårdsgatan,Mölndal,x, , , , ,57.65722,12.00583
"ICA Nära, Rävekärr",Mölndal,x,x,x,x,x,57.64556,12.03194
Konstnärsgatan,Mölndal,x,x,x,x,"",57.67333,11.96917
"Krokslättsvallen, P-plats",Mölndal,x,x,x,x,x,57.67083,11.99694
Kämpegatan,Mölndal,x,x,x,x,"",57.67611,11.98861
