Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
"Hälsingberg, vid OK",Falun,x,x,x,x,x,60.59472,15.69361
Hosjö,Falun,x,x,x,x,x,60.59444,15.75194
"Hosjö, vid Hemköp",Falun,x,x,x,x,x,60.59028,15.73222
"Falun Centrum, vid gamla herrgården",Falun,x,x,x,x,x,60.60694,15.61778
G:a Berget,Falun,x,x,x,x,x,60.60250,15.58861
"Falun Centrum, vid östra skolan",Falun,x,x,x,x,x,60.61056,15.62944
"Falun Centrum, vid Tiskenparkeringen",Falun,x,x,x,x,x,60.60361,15.63472
Britsarvsskolan,Falun,x,x,x,x,x,60.62194,15.62111
Grycksbo Centrum,Grycksbo,x,x,x,x,x,60.68722,15.48528
Linghed skolan,Linghed,x,x,x,x,x,60.78389,15.86056
Lumsheden,Lumsheden,x,x,x,x,x,60.71028,16.24944
"Tempo Paletten, Sundborn",Sundborn,x,x,x,x,x,60.65333,15.77472
"Liljansskolan, Boda",Boda,x,x,x,x,x,60.70778,15.87083
Toftby handel,Toftbyn,x,x,x,x,x,60.71361,15.78278
Hedvägen,Vika,x,x,x,x,x,60.51778,15.71472
Ica Supermarket,Falun,x,x,x,x,x,60.62056,15.59556
Bjursås (ÅVC),Bjursås,x,x,x,x,x,60.72583,15.44472
Svärdsjö (ÅVC) ,Svärdsjö,x,x,x,x,x,60.74583,15.90972
Övertänger,Enviken,x,x,x,x,x,60.86528,15.74917
Ica Svärdsjö,Svärdsjö,x,x,x,x,x,60.74222,15.90472
Vidåsvägen 3,Sågmyra,x,x,x,x,x,60.71556,15.29556
Textilvägen ,Sågmyra,x,x,x,x,x,60.71444,15.29444
Björbo Konsum,Björbo,x,x,x,x,x,60.45667,14.73167
Bäsna Fd OK-macken,Bäsna,x,x,x,x,x,60.53861,15.20722
Dala-Floda Statoil,Dala-Floda,x,x,x,x,x,60.51000,14.80250
Djurmo Touring butiken,Djurmo,x,x,x,x,x,60.55111,15.20250
Djurås söder om Ica,Djurås,x,x,x,x,x,60.55833,15.14056
Djurås Konsum,Djurås,x,x,x,x,x,60.56111,15.13028
Gagnefhallen ICA,Gagnef,x,x,x,x,x,60.59556,15.08222
Mockfjärd IOGT,Mockfjärd,x,x,x,x,x,60.49944,14.96528
Mockfjärd -rest Jerusalem,Mockfjärd,x,x,x,x,x,60.50889,14.96222
Tägtberget (ÅVC),Gagnef,x,x,x,x,x,60.55694,15.14889
Dala Floda (ÅVC),Dala Floda,x,x,x,x,x,60.50444,14.78528
Garpenberg,Garpenberg,x,x,x,x,x,60.31694,16.19611
Hamre Avfallsstation (ÅVC),Hedemora,x,x,x,x,x,60.28500,16.00528
Bakom Hemköp vid Lappens Grill,Hedemora,x,x,x,x,x,60.28361,15.98778
Hedemora,Hedemora,x,x,x,x,x,60.28028,15.98472
"Hedemora, fd, Rätt Pris",Hedemora,x,x,x,x,x,60.29361,15.98306
Ishallen/Folketspark,Hedemora,x,x,x,x,x,60.29278,15.97528
"Långshyttan, OK-plan",Långshyttan,x,x,x,x,x,60.45333,16.03444
Dala-Husby,Dala-Husby,x,x,x,x,x,60.39083,15.99889
Stjärnsund,Stjärnsund,x,x,x,x,x,60.43361,16.20972
"Vikmanshyttan, Tempo",Vikmanshyttan,x,x,x,x,x,60.29722,15.82611
Ica Supermarket,Hedemora,x,x,x,x,x,60.28139,15.99556
Djura,Djura,x,x,x,x,x,60.60972,15.00944
